osm_id,service_type,name,lat,lon
9917387882,pharmacy,SOpharmacy,42.161264,24.756321
9917387883,pharmacy,Аптека Запад,42.161447,24.756332
9917428941,pharmacy,Фармакон,42.164367,24.746959
9952140148,clinic,,42.034501,25.830893
9952667332,hospital,,43.409992,24.607888
9963142473,pharmacy,,43.128294,25.682962
9976710214,school,,42.002899,23.106329
9978375868,pharmacy,Медика,43.243132,26.561808
9987704487,pharmacy,,42.656892,27.704474
9990810839,pharmacy,,42.058752,25.587353
10001989738,hospital,"МБАЛ ""Св. Иван Рилски""",42.268757,22.676369
10015115056,pharmacy,Ремедиум,42.688775,23.327879
10018087332,kindergarten,,43.999547,22.867742
10018087333,kindergarten,,43.999075,22.872155
10027861485,pharmacy,Nixi,42.715936,23.268634
10032361488,kindergarten,ДГ №99 „Брезичка“ - филиал бл. 31,42.674416,23.29279
10032361490,kindergarten,ДГ №99 „Брезичка“ - филиал бл. 23,42.674983,23.294273
10038221115,school,ОУ «Доктор Петър Берон»,43.110499,27.828123
10067701474,pharmacy,SOpharmacy,42.728424,23.286021
10074201475,kindergarten,,43.112902,27.827963
10086106859,pharmacy,Фрамар,43.214212,27.901344
10093882422,school,ОУ Отец Паисий,43.213391,27.885634
10107135284,clinic,Петинка Цветкова,43.208148,27.889903
10112001760,pharmacy,Медея,42.653548,23.343365
10116720194,pharmacy,Витания,42.652332,23.347192
10117306717,pharmacy,Ремедиум,42.676387,23.306044
10119696184,pharmacy,,42.734626,23.310122
10119786603,pharmacy,Марешки,42.056318,25.590622
10127222505,kindergarten,Частна детска градина Мелита,43.207941,27.898379
10136128113,pharmacy,Здраве,42.743759,23.27724
10140133166,pharmacy,SOpharmacy,42.124624,24.720648
10140179208,hospital,Еврохоспитал,42.111024,24.70947
10140187731,pharmacy,Фрамар,42.125881,24.720627
10149294316,pharmacy,,42.634545,23.379873
10154537264,pharmacy,Афиа,42.522998,27.462253
10154537274,pharmacy,Аптека Астра,42.528123,27.4634
10157385983,pharmacy,,42.494078,27.477984
10157385998,pharmacy,,42.493857,27.475792
10157390121,pharmacy,Subra,42.496377,27.470867
10159552939,hospital,Работническа поликлиника,41.833185,24.826161
10159552944,school,"СОУ ""Христо Ботев""",41.834531,24.82983
10162238991,pharmacy,,42.076108,24.664928
10162880583,clinic,,42.177886,24.624718
10170853029,pharmacy,Марешки,42.871237,24.711243
10171990258,clinic,Crystal Skin Clinic,42.643129,23.334106
10177393137,school,Професионална Техническа Гимназия,43.220802,27.901205
10177393138,school,Професионална Техническа Гимназия,43.220912,27.900267
10177458552,kindergarten,27 ДГ Успех,43.225628,27.898291
