osm_id,service_type,amenity_raw,name,lat,lon,district
4485483647,pharmacy,pharmacy,,42.963618,23.343093,Sofia Province
4485754990,pharmacy,pharmacy,Медея,42.689702,23.341984,Sofia (Capital)
4485755080,pharmacy,pharmacy,Ели,42.68959,23.343118,Sofia (Capital)
4485755393,pharmacy,pharmacy,Валета,42.692717,23.343977,Sofia (Capital)
4485755411,pharmacy,pharmacy,Нота бене,42.690042,23.340635,Sofia (Capital)
4486413791,pharmacy,pharmacy,SOpharmacy,42.685357,23.255539,Sofia (Capital)
4494600073,pharmacy,pharmacy,,43.015308,23.046058,Sofia Province
4498546868,pharmacy,pharmacy,,42.707096,23.350424,Sofia (Capital)
4502169802,clinic,clinic,Медицински център Лора,42.67678,23.288621,Sofia (Capital)
4503154521,pharmacy,pharmacy,,42.69459,23.321904,Sofia (Capital)
4504129789,kindergarten,kindergarten,,43.519993,26.525673,Razgrad
4504224747,pharmacy,pharmacy,,43.01618,23.042828,Sofia Province
4509066091,pharmacy,pharmacy,Мусагеница,42.66445,23.363806,Sofia (Capital)
4510444590,pharmacy,pharmacy,Мандрагора,42.660762,23.36667,Sofia (Capital)
4510477989,pharmacy,pharmacy,Аптека Ива,42.638333,23.369865,Sofia (Capital)
4510478089,pharmacy,pharmacy,Аптека Денифарм,42.638645,23.365953,Sofia (Capital)
4511203312,pharmacy,pharmacy,Ремедиум,42.693728,23.321007,Sofia (Capital)
4514136412,pharmacy,pharmacy,SOpharmacy,42.724365,23.247203,Sofia (Capital)
4516112447,pharmacy,pharmacy,Ремедиум,42.693434,23.3308,Sofia (Capital)
4516159933,school,school,Училище за чужди езици БИГ БЕН,42.693191,23.331205,Sofia (Capital)
4518082461,pharmacy,pharmacy,Медея,42.691784,23.314344,Sofia (Capital)
4519424967,pharmacy,pharmacy,Фрамар,42.498908,27.470099,Burgas
4519715192,pharmacy,pharmacy,Предлага,42.691654,23.318669,Sofia (Capital)
4521149495,pharmacy,pharmacy,SOpharmacy,42.683342,23.297367,Sofia (Capital)
4521158096,pharmacy,pharmacy,,42.671555,23.259883,Sofia (Capital)
4521162091,pharmacy,pharmacy,SOpharmacy,42.665411,23.289525,Sofia (Capital)
4521190690,pharmacy,pharmacy,SOpharmacy,42.67057,23.272994,Sofia (Capital)
4521491960,pharmacy,pharmacy,Медея,42.671267,23.259,Sofia (Capital)
4525286902,pharmacy,pharmacy,ФармаСтор,42.707919,23.287964,Sofia (Capital)
4525316327,pharmacy,pharmacy,SOpharmacy,42.713178,23.298607,Sofia (Capital)
4525334148,pharmacy,pharmacy,Белба,42.681847,23.331191,Sofia (Capital)
4525343610,pharmacy,pharmacy,SOpharmacy,42.73567,23.291836,Sofia (Capital)
4525344447,pharmacy,pharmacy,Ceiba,42.678155,23.360176,Sofia (Capital)
4526950458,kindergarten,kindergarten,Слънчогледи,42.608626,23.387867,Sofia (Capital)
4529249053,school,school,Step by Step,42.691668,23.329791,Sofia (Capital)
4530665291,pharmacy,pharmacy,,42.681829,23.289724,Sofia (Capital)
4530908868,pharmacy,pharmacy,Афиа,42.481935,26.512379,Yambol
4531489489,pharmacy,pharmacy,Здраве,42.48228,26.507435,Yambol
4536358590,pharmacy,pharmacy,Прополис,42.665472,23.28133,Sofia (Capital)
4538608644,pharmacy,pharmacy,ПроФарма,42.690573,23.323329,Sofia (Capital)
4539063318,pharmacy,pharmacy,,43.471312,23.943466,Vratsa
4539841301,pharmacy,pharmacy,Мултифарм,42.486449,26.505154,Yambol
4539841302,pharmacy,pharmacy,Мултифарм,42.479674,26.500256,Yambol
4539841303,pharmacy,pharmacy,Мултифарм,42.487997,26.511288,Yambol
4539842435,pharmacy,pharmacy,Мултифарм,42.483067,26.51601,Yambol
4539842436,pharmacy,pharmacy,Мултифарм,42.499927,26.527398,Yambol
4539842437,pharmacy,pharmacy,Мултифарм,42.476432,26.49936,Yambol
4539857942,pharmacy,pharmacy,Мултифарм,42.171949,26.568534,Yambol
4543907607,pharmacy,pharmacy,,42.690484,23.329136,Sofia (Capital)
4545333492,school,school,"СУ ""Св.Св.Кирил и Методий"" корпус 2",43.066988,27.013569,Shumen
4549984414,pharmacy,pharmacy,ЕТ Фармакийс,42.689498,23.325481,Sofia (Capital)
4560307777,school,school,Helen Doron Sofia West,42.702126,23.30001,Sofia (Capital)
4568256343,pharmacy,pharmacy,Доверие,43.014513,23.046235,Sofia Province
4568874539,clinic,doctors,,41.75463,25.349061,Kardzhali
4569929592,clinic,doctors,Психотест,42.72085,23.25756,Sofia (Capital)
4579807805,pharmacy,pharmacy,,42.70645,23.352514,Sofia (Capital)
4582324098,kindergarten,kindergarten,Моят Свят,42.702224,23.332027,Sofia (Capital)
4587187994,pharmacy,pharmacy,Нота Бене,42.626843,23.384271,Sofia (Capital)
4587446889,school,school,,42.700116,23.330631,Sofia (Capital)
4588188189,pharmacy,pharmacy,SOpharmacy,42.695988,23.287661,Sofia (Capital)
4588625698,pharmacy,pharmacy,SOpharmacy,42.712603,23.268798,Sofia (Capital)
4588679893,pharmacy,pharmacy,,42.712965,23.269774,Sofia (Capital)
4588681491,pharmacy,pharmacy,Pharmalife,42.715518,23.271358,Sofia (Capital)
4588975189,pharmacy,pharmacy,Анимеа,42.700278,23.315209,Sofia (Capital)
4591331083,pharmacy,pharmacy,,42.738627,22.907675,Pernik
4610049618,hospital,hospital,Медицински център „Адара”,43.852872,25.991636,Ruse
4614051080,school,school,"ОУ ""Васил Левски""",42.716545,23.933003,Sofia Province
4659408370,school,school,Maximum English School,42.13939,24.750123,Plovdiv
4666241590,clinic,clinic,Cibalab,42.691253,23.294188,Sofia (Capital)
4678278542,pharmacy,pharmacy,SOpharmacy,42.493595,27.471011,Burgas
4691589683,school,school,ГПЧЕ „Алеко Константинов“,42.89358,23.919815,Sofia Province
4691589684,school,school,"Основно училище ""Васил Левски""",42.893192,23.919655,Sofia Province
4692393790,clinic,doctors,Медицински център FiHealth,42.650855,23.340501,Sofia (Capital)
4697969964,pharmacy,pharmacy,Марешки,42.136453,24.763368,Plovdiv
4697969974,pharmacy,pharmacy,Тракия 22,42.141769,24.786525,Plovdiv
4707439043,school,school,,42.049848,25.580181,Haskovo
4710433572,hospital,hospital,Поликлиника,41.988591,24.092271,Pazardzhik
4712368875,hospital,hospital,ВИТА,42.031363,23.984804,Pazardzhik
4722286701,pharmacy,pharmacy,Софиямед 2,42.665479,23.370686,Sofia (Capital)
4730499233,pharmacy,pharmacy,Марешки,42.145134,24.75393,Plovdiv
4730499236,pharmacy,pharmacy,Р & Н частна аптека,42.144073,24.748207,Plovdiv
4730896219,pharmacy,pharmacy,СОЦИАЛНА Аптека,41.990428,24.08847,Pazardzhik
4741963326,pharmacy,pharmacy,Яна,42.579848,26.605357,Yambol
4742465731,pharmacy,pharmacy,,42.638526,23.371613,Sofia (Capital)
4742465964,clinic,clinic,AmeriMed,42.635542,23.369301,Sofia (Capital)
4742485528,kindergarten,kindergarten,,43.243732,26.578258,Targovishte
4748800556,kindergarten,kindergarten,Слънчевата къща,42.147297,24.745084,Plovdiv
4753148622,school,school,Европейска академия за обучение и развитие,42.705766,23.278872,Sofia (Capital)
4770132232,pharmacy,pharmacy,,41.989766,24.09094,Pazardzhik
4781831943,pharmacy,pharmacy,Аптека Аспида 1,43.280336,26.923816,Shumen
4782011555,school,school,Обединена школа по изкуства,43.271252,26.925498,Shumen
4789573022,school,school,СУ Панайот Пипков,43.129331,24.714115,Lovech
4789610121,school,school,"СУ ""Св. Климент Охридски""",43.139498,24.71746,Lovech
4790015122,pharmacy,pharmacy,,43.156787,24.716772,Lovech
4794663823,school,school,,43.160583,24.71917,Lovech
4794677955,school,school,ОУ Христо Никифоров,43.147165,24.716413,Lovech
4794834439,kindergarten,kindergarten,,43.132797,24.702953,Lovech
4794897129,hospital,hospital,Държавна психиатрична болница - Ловеч,43.131521,24.710124,Lovech
4795170705,pharmacy,pharmacy,Sopharmacy,42.477499,26.517892,Yambol
4798909579,pharmacy,pharmacy,,43.1987,23.546313,Vratsa
4800621262,hospital,hospital,Многопрофилна болница за активно лечение Проф. Д-р. Параскев Стоянов - Ловеч,43.132647,24.706314,Lovech
4800671870,clinic,clinic,,43.157123,24.717234,Lovech
4801186129,school,school,"Професионална гимназия по кожарство, облекло и химични технологии „Марийка и Маринчо Караконови“",43.140809,24.721639,Lovech
4801201398,school,school,"Професионална гимназия по ветеринарна медицина ""Професор д-р Димитър Димов""",43.145697,24.718704,Lovech
4829395258,pharmacy,pharmacy,,41.498519,24.942797,Smolyan
4833399371,clinic,clinic,Китайски център,43.207699,27.920336,Varna
4846913196,pharmacy,pharmacy,,42.086591,23.059476,Kyustendil
4848221695,clinic,doctors,Янчо Делчев,42.674067,23.322267,Sofia (Capital)
4859061927,pharmacy,pharmacy,SOpharmacy,42.665315,23.356438,Sofia (Capital)
4860112348,school,school,Езиков център „Ориндж хаус“,43.203344,27.914881,Varna
4867821001,school,school,"Начално училище ""Любен Каравелов""",42.949043,24.267393,Lovech
4867935546,pharmacy,pharmacy,Денонощна аптека Орион,42.715609,23.276469,Sofia (Capital)
4869966716,school,school,Христо Ботев,43.306956,24.349477,Pleven
4874373451,clinic,clinic,Здравен център,43.572328,24.279862,Pleven
4874876316,pharmacy,pharmacy,,42.852387,23.038584,Sofia Province
4879715521,pharmacy,pharmacy,Верде,42.657689,23.376288,Sofia (Capital)
4879929129,pharmacy,pharmacy,,43.467913,24.521238,Pleven
4880054592,clinic,doctors,,43.337327,25.82709,Veliko Tarnovo
